model,variant,scheme,epsilon,evasion_rate,attack_to_benign_fnr
MLP,hardened,pgd_grad,0.05,0.048076923076923,0.0184458398744113
MLP,hardened,pgd_grad,0.1,0.0553375196232339,0.018936420722135
MLP,hardened,pgd_grad,0.15,0.0666208791208791,0.0207025117739403
MLP,hardened,pgd_grad,0.2,0.0792778649921507,0.0231554160125588
MLP,hardened,pgd_grad,0.3,0.159438775510204,0.0381671899529042
DNN,plain,fgsm_grad,0.0,0.0423861852433281,0.0173665620094191
DNN,plain,fgsm_grad,0.01,0.042778649921507,0.0174646781789638
DNN,plain,fgsm_grad,0.02,0.0442503924646781,0.0180533751962323
DNN,plain,fgsm_grad,0.05,0.0566130298273155,0.0193288854003139
DNN,plain,fgsm_grad,0.1,0.0879120879120879,0.0302197802197802
DNN,plain,fgsm_grad,0.15,0.1313775510204081,0.0388540031397174
DNN,plain,fgsm_grad,0.2,0.1705259026687598,0.0535714285714285
DNN,plain,fgsm_grad,0.3,0.4386773940345368,0.0959576138147566
DNN,plain,pgd_grad,0.0,0.0423861852433281,0.0173665620094191
DNN,plain,pgd_grad,0.01,0.042778649921507,0.0174646781789638
DNN,plain,pgd_grad,0.02,0.0442503924646781,0.0180533751962323
DNN,plain,pgd_grad,0.05,0.0584772370486656,0.0194270015698587
DNN,plain,pgd_grad,0.1,0.1015502354788069,0.0311028257456828
DNN,plain,pgd_grad,0.15,0.1540423861852433,0.0482731554160125
DNN,plain,pgd_grad,0.2,0.2157574568288854,0.0620094191522762
DNN,plain,pgd_grad,0.3,0.6536499215070644,0.1095957613814756
DNN,hardened,fgsm_grad,0.0,0.0418956043956043,0.0167778649921507
DNN,hardened,fgsm_grad,0.01,0.0419937205651491,0.0167778649921507
DNN,hardened,fgsm_grad,0.02,0.0419937205651491,0.0167778649921507
DNN,hardened,fgsm_grad,0.05,0.0423861852433281,0.0171703296703296
DNN,hardened,fgsm_grad,0.1,0.0430729984301412,0.0177590266875981
DNN,hardened,fgsm_grad,0.15,0.0435635792778649,0.0182496075353218
DNN,hardened,fgsm_grad,0.2,0.0457221350078492,0.0196232339089481
DNN,hardened,fgsm_grad,0.3,0.0566130298273155,0.0241365777080062
DNN,hardened,pgd_grad,0.0,0.0418956043956043,0.0167778649921507
DNN,hardened,pgd_grad,0.01,0.0419937205651491,0.0167778649921507
DNN,hardened,pgd_grad,0.02,0.0419937205651491,0.0167778649921507
DNN,hardened,pgd_grad,0.05,0.0423861852433281,0.0171703296703296
DNN,hardened,pgd_grad,0.1,0.0430729984301412,0.0177590266875981
DNN,hardened,pgd_grad,0.15,0.0439560439560439,0.0183477237048665
DNN,hardened,pgd_grad,0.2,0.0496467817896389,0.0199175824175824
DNN,hardened,pgd_grad,0.3,0.094289638932496,0.0289442700156985
1D-CNN,plain,fgsm_grad,0.0,0.024627158555729986,0.004905808477237049
1D-CNN,plain,fgsm_grad,0.01,0.06760204081632654,0.022370486656200943
1D-CNN,plain,fgsm_grad,0.02,0.07417582417582418,0.024627158555729986
1D-CNN,plain,fgsm_grad,0.05,0.12647174254317112,0.04317111459968603
1D-CNN,plain,fgsm_grad,0.1,0.35478806907378335,0.11822998430141288
1D-CNN,plain,fgsm_grad,0.15,0.6554160125588697,0.2824764521193093
1D-CNN,plain,fgsm_grad,0.2,0.8058281004709577,0.38157378335949765
1D-CNN,plain,fgsm_grad,0.3,0.965168759811617,0.4832221350078493
1D-CNN,plain,pgd_grad,0.0,0.024627158555729986,0.004905808477237049
1D-CNN,plain,pgd_grad,0.01,0.06809262166405024,0.022566718995290422
1D-CNN,plain,pgd_grad,0.02,0.07584379905808478,0.02511773940345369
1D-CNN,plain,pgd_grad,0.05,0.14109105180533751,0.046114599686028254
1D-CNN,plain,pgd_grad,0.1,0.44240580847723704,0.18691130298273156
1D-CNN,plain,pgd_grad,0.15,0.8389913657770801,0.43377158555729983
1D-CNN,plain,pgd_grad,0.2,0.9746860282574569,0.4915620094191523
1D-CNN,plain,pgd_grad,0.3,0.9993131868131868,0.4966640502354788
1D-CNN,hardened,fgsm_grad,0.0,0.04434850863422292,0.018740188383045527
1D-CNN,hardened,fgsm_grad,0.01,0.0445447409733124,0.018936420722135007
1D-CNN,hardened,fgsm_grad,0.02,0.04493720565149137,0.01903453689167975
1D-CNN,hardened,fgsm_grad,0.05,0.045820251177394036,0.019721350078492936
1D-CNN,hardened,fgsm_grad,0.1,0.04964678178963893,0.02295918367346939
1D-CNN,hardened,fgsm_grad,0.15,0.05631868131868132,0.028846153846153848
1D-CNN,hardened,fgsm_grad,0.2,0.06760204081632654,0.03816718995290424
1D-CNN,hardened,fgsm_grad,0.3,0.23018053375196232,0.14481946624803768
1D-CNN,hardened,pgd_grad,0.0,0.04434850863422292,0.018740188383045527
1D-CNN,hardened,pgd_grad,0.01,0.044740973312401885,0.01903453689167975
1D-CNN,hardened,pgd_grad,0.02,0.045133437990580845,0.01903453689167975
1D-CNN,hardened,pgd_grad,0.05,0.04640894819466248,0.020310047095761383
1D-CNN,hardened,pgd_grad,0.1,0.051903453689167975,0.025412087912087912
1D-CNN,hardened,pgd_grad,0.15,0.07329277864992151,0.03345761381475667
1D-CNN,hardened,pgd_grad,0.2,0.15021585557299844,0.07721742543171115
1D-CNN,hardened,pgd_grad,0.3,0.7461734693877551,0.3572409733124019
